Types,price,ranking,souvenir,address,url
麵包類,180,50,銀座木村屋總本店「あんぱん酒種　桜」,銀座駅周辺　銀座木村屋總本店,https://www.kimuraya-sohonten.co.jp/goods_category/s1
點心類,702,49,D&Nコンフェクショナリー 「焼マシュマロ・タルト スモア（S’MORE）」,羽田空港第2旅客ターミナル 1F ANA FESTA,https://www.anafesta.com/products/546
巧克力類,675,48,ラ･メゾン･デュ･ショコラ「ショコラ」,銀座駅　松屋銀座 B1F,http://www.lamaisonduchocolat.co.jp/ja_jp/
點心類,734,47,目黒東山 菓匠雅庵「わらび餅」,品川駅　エキュート品川サウス 1F,http://www.wagashi-miyabian.com
巧克力類,648,46,コロンバン「東京駅焼きショコラ」,東京駅　グランスタ B1F,http://www.wagashi-miyabian.com
巧克力類,1620,45,ホレンディッシェ・カカオシュトゥーベ「バウムシュピッツ」,新宿駅　伊勢丹 B1F,https://isetan.mistore.jp/onlinestore/foods/kakaostube/index.html
點心類,1998,44,欧風洋菓子店SHIMIZU「浅草ブランデーケーキ」,浅草駅　エキミセ 1F,https://asakusashimizu.com/
麵包類,432,43,HACCI「ハニーラスク」,銀座駅　銀座三越 B2F,http://hacci1912.com/
巧克力類,702,42,ベルン「ミルフィーユ」,品川駅　エキュート品川サウス 1F,http://hacci1912.com/
餅乾類,1250,41,東京カンパネラ「東京カンパネラ ショコラ」,東京駅　大丸東京 4F,http://hacci1912.com/
點心類,680,40,C3（シーキューブ）「焼きティラミス」,池袋駅　西武百貨店池袋本店 B1F 本館北,http://hacci1912.com/
夾心餅乾類,1080,39,叶 匠寿庵 「羽雲（はねぐも）」,羽田空港　第1旅客ターミナル 2F　特選和菓子館,http://hanegumo.com
巧克力類,1404,38,ピエール・マルコリーニ 「マルコリーニ マドレーヌ ショコラ」,羽田空港　第2旅客ターミナル 2F 東京食賓館[3番時計台前],https://store.c-c-c.co.jp/DefaultBrandTop.aspx
點心類,648,37,銀座ブールミッシュ「東京スカイツリー(R)キャラメルワッフル」,東京スカイツリー　東京ラマチ 2F,http://www.boulmich.co.jp/
巧克力類,414,36,CAFE OHZAN（カフェオウザン）「クロワッサンラスク」,銀座駅　銀座三越 B2F,http://onlineshop.cafe-ohzan.com/
麵包類,566,35,銀座 甘楽「銀六餅」,品川駅　エキュート品川 1F,http://www.kanra.co.jp/syouhin.html
點心類,1250,34,パティスリーQBG「はちみつフィナンシェ」,品川駅　エキュート品川 1F,http://www.qbg-alfa.jp/commodity.html
點心類,648,33,ねんりん家「ちいさなバームツリーの東京バームツリーボックス」,東京スカイツリー　東京ソラマチ 2F,https://www.nenrinya.jp/littlebaumtree/
點心類,864,32,資生堂パーラー「ボンボン フロマージュ」,羽田空港　第1旅客ターミナル 2F　東京食賓館[Eゲート前],https://parlour.shiseido.co.jp
小蛋糕類,1944,31,治一郎「バウムクーヘン」,羽田空港　第1旅客ターミナル 2F PIER 4,http://www.jiichiro.com
餅乾類,648,30,桂新堂「パンダの旅」,東京駅　グランスタ B1F,http://www.keishindo.co.jp
點心類,1512,29,ピエール・エルメ・パリ「マカロン」,渋谷駅　渋谷ヒカリエShinQs B2F,http://www.keishindo.co.jp
點心類,1100,28,銀座かずや「かずやの煉 抹茶　みるく」,銀座駅周辺　東京都千代田区有楽町1-6-8 松井ビル1階,https://www.ginzakazuya.com/products.html
點心類,600,27,浅草あづま「きびだんご」,浅草駅周辺　仲見世通り,http://www.asakusa-nakamise.jp/store/pop.php?sid=16
點心類,216,26,フロマージュ・テラ「とろとろ焼きカップチーズ」,東京駅　京葉ストリート 1F,http://terraconfect.tokyo/fromageterra/
餅乾類,626,25,ガトーフェスタ ハラダ「グーテ・デ・ロワ」,池袋駅　東武百貨店池袋店 B1F,http://terraconfect.tokyo/fromageterra/
餅乾類,1080,24,大江戸菓子匠　銀座松崎煎餅　「瓦煎餅三味胴」,銀座駅周辺　東京都中央区銀座5-6-9松崎ビル1階,http://terraconfect.tokyo/fromageterra/
