商品排名名稱,營業價格,地址,官方網站
【50位】銀座木村屋總本店「あんぱん酒種　桜」,1個当たり　180円～,銀座駅周辺　銀座木村屋總本店,https://www.kimuraya-sohonten.co.jp/goods_category/s1
【49位】D&Nコンフェクショナリー 「焼マシュマロ・タルト スモア（S’MORE）」,4個入　702円,羽田空港第2旅客ターミナル 1F ANA FESTA,https://www.anafesta.com/products/546
【48位】ラ･メゾン･デュ･ショコラ「ショコラ」,各種 675円,銀座駅　松屋銀座 B1F,http://www.lamaisonduchocolat.co.jp/ja_jp/
【47位】目黒東山 菓匠雅庵「わらび餅」,1折　734円,品川駅　エキュート品川サウス 1F,http://www.wagashi-miyabian.com
【46位】コロンバン「東京駅焼きショコラ」,5個入り　648円(税込),東京駅　グランスタ B1F,http://www.wagashi-miyabian.com
【45位】ホレンディッシェ・カカオシュトゥーベ「バウムシュピッツ」,"1,620円",新宿駅　伊勢丹 B1F,https://isetan.mistore.jp/onlinestore/foods/kakaostube/index.html
【44位】欧風洋菓子店SHIMIZU「浅草ブランデーケーキ」,"1本 1,998円",浅草駅　エキミセ 1F,https://asakusashimizu.com/
【43位】HACCI「ハニーラスク」,1個　432円税込,銀座駅　銀座三越 B2F,http://hacci1912.com/
【42位】ベルン「ミルフィーユ」,702円,品川駅　エキュート品川サウス 1F,http://hacci1912.com/
【41位】東京カンパネラ「東京カンパネラ ショコラ」,"10個入り　1,250円（税込）",東京駅　大丸東京 4F,http://hacci1912.com/
【40位】C3（シーキューブ）「焼きティラミス」,4個入　680円 (税込),池袋駅　西武百貨店池袋本店 B1F 本館北,http://hacci1912.com/
【39位】叶 匠寿庵 「羽雲（はねぐも）」,"5個　1,080円",羽田空港　第1旅客ターミナル 2F　特選和菓子館,http://hanegumo.com
【38位】ピエール・マルコリーニ 「マルコリーニ マドレーヌ ショコラ」,"6個　1,404円",羽田空港　第2旅客ターミナル 2F 東京食賓館[3番時計台前],https://store.c-c-c.co.jp/DefaultBrandTop.aspx
【37位】銀座ブールミッシュ「東京スカイツリー(R)キャラメルワッフル」,5個　648円,東京スカイツリー　東京ラマチ 2F,http://www.boulmich.co.jp/
【36位】CAFE OHZAN（カフェオウザン）「クロワッサンラスク」,1個 414円,銀座駅　銀座三越 B2F,http://onlineshop.cafe-ohzan.com/
【35位】銀座 甘楽「銀六餅」,5個入り　566円(税込),品川駅　エキュート品川 1F,http://www.kanra.co.jp/syouhin.html
【34位】パティスリーQBG「はちみつフィナンシェ」,"5個入 1,250円(税込)",品川駅　エキュート品川 1F,http://www.qbg-alfa.jp/commodity.html
【33位】ねんりん家「ちいさなバームツリーの東京バームツリーボックス」,2本　648円,東京スカイツリー　東京ソラマチ 2F,https://www.nenrinya.jp/littlebaumtree/
【32位】資生堂パーラー「ボンボン フロマージュ」,5個入 864円,羽田空港　第1旅客ターミナル 2F　東京食賓館[Eゲート前],https://parlour.shiseido.co.jp
【31位】治一郎「バウムクーヘン」,"1個　1,944円",羽田空港　第1旅客ターミナル 2F PIER 4,http://www.jiichiro.com
【30位】桂新堂「パンダの旅」,3個入り　648円(税込),東京駅　グランスタ B1F,http://www.keishindo.co.jp
【29位】ピエール・エルメ・パリ「マカロン」,"3個　1,512円（税込）",渋谷駅　渋谷ヒカリエShinQs B2F,http://www.keishindo.co.jp
【28位】銀座かずや「かずやの煉 抹茶　みるく」,"3個　1,100円",銀座駅周辺　東京都千代田区有楽町1-6-8 松井ビル1階,https://www.ginzakazuya.com/products.html
【27位】浅草あづま「きびだんご」,10本　600円,浅草駅周辺　仲見世通り,http://www.asakusa-nakamise.jp/store/pop.php?sid=16
【26位】フロマージュ・テラ「とろとろ焼きカップチーズ」,1個　216円　(税込),東京駅　京葉ストリート 1F,http://terraconfect.tokyo/fromageterra/
【25位】ガトーフェスタ ハラダ「グーテ・デ・ロワ」,8袋　626円,池袋駅　東武百貨店池袋店 B1F,http://terraconfect.tokyo/fromageterra/
【24位】大江戸菓子匠　銀座松崎煎餅　「瓦煎餅三味胴」,"8枚入り1,080円",銀座駅周辺　東京都中央区銀座5-6-9松崎ビル1階,http://terraconfect.tokyo/fromageterra/
【23位】スイーツハートツリー「いちごのシャリーメイト」,8個　617円,東京スカイツリー　東京ソラマチ 2F,http://terraconfect.tokyo/fromageterra/
【22位】BABBI 銀座松屋　「グランワッフェリーニ セット」,"6枚　2,160円",銀座駅　松屋銀座 B1F,http://www.babbi.co.jp
【21位】TAICHIRO MORINAGA「キャラメルラスク」,4枚入　486円(税込),新宿駅　NEWoman（ニュウマン）エキナカ 2F,http://www.morinaga.co.jp/taichiro/
【20位】フレデリック・カッセル銀座三越「ミルフイユ・ヴァニーユ」,1個　778円,銀座駅　銀座三越 B2F,http://www.frederic-cassel.jp/specialite/
【19位】かきたねキッチン「キューブ」,1箱　378円,品川駅　エキュート品川サウス 1F,http://www.frederic-cassel.jp/specialite/
【18位】BAKE「チーズタルト」,1個 216円,新宿駅　ルミネエスト 1F,https://cheesetart.com
【17位】麻布十番 杵屋「揚げパスタ」,1袋　380円～430円(税込)　※種類によって異なる,新宿駅　NEWoman（ニュウマン）エキナカ,http://www.a-kineya.co.jp/products/agepasta.html
